"publication_year per year","contributors.contributorType: Descending",Count
1980,HostingInstitution,"2,812"
1980,DataCollector,"2,765"
1980,DataManager,"2,251"
1980,Other,559
1980,RelatedPerson,339
1980,Editor,190
1980,RightsHolder,102
1980,ContactPerson,73
1980,Distributor,69
1980,Sponsor,49
1980,Supervisor,35
1980,DataCurator,27
1980,ResearchGroup,24
1980,Researcher,3
1980,ProjectLeader,2
1980,ProjectManager,2
1980,ProjectMember,1
1981,HostingInstitution,"1,907"
1981,DataManager,"1,482"
1981,DataCollector,"1,394"
1981,Other,550
1981,RelatedPerson,290
1981,Editor,175
1981,Distributor,69
1981,RightsHolder,59
1981,Supervisor,44
1981,Sponsor,37
1981,ContactPerson,31
1981,DataCurator,24
1981,ResearchGroup,18
1981,Researcher,2
1982,HostingInstitution,"2,334"
1982,DataManager,"1,635"
1982,DataCollector,"1,561"
1982,Other,721
1982,Editor,301
1982,RelatedPerson,287
1982,RightsHolder,139
1982,Sponsor,80
1982,Distributor,73
1982,ContactPerson,51
1982,Producer,33
1982,Supervisor,28
1982,DataCurator,14
1982,ResearchGroup,13
1982,Researcher,2
1983,HostingInstitution,"2,749"
1983,DataManager,"2,007"
1983,Other,635
1983,DataCollector,580
1983,Editor,349
1983,RelatedPerson,323
1983,RightsHolder,93
1983,Sponsor,90
1983,Distributor,67
1983,ContactPerson,56
1983,Supervisor,46
1983,DataCurator,20
1983,ResearchGroup,19
1983,Producer,8
1983,Researcher,5
1983,Funder,2
1983,RegistrationAuthority,1
1984,HostingInstitution,"2,763"
1984,DataCollector,"1,949"
1984,DataManager,"1,711"
1984,Other,636
1984,Editor,308
1984,RelatedPerson,305
1984,RightsHolder,92
1984,Sponsor,84
1984,Distributor,75
1984,ContactPerson,68
1984,Supervisor,55
1984,ResearchGroup,24
1984,Producer,23
1984,DataCurator,18
1984,Researcher,5
1985,DataCollector,"3,813"
1985,HostingInstitution,"2,529"
1985,DataManager,"1,662"
1985,Other,728
1985,Editor,391
1985,RelatedPerson,320
1985,RightsHolder,177
1985,ContactPerson,96
1985,Distributor,85
1985,Sponsor,78
1985,Supervisor,35
1985,ResearchGroup,22
1985,DataCurator,6
1985,Researcher,5
1985,Producer,2
1986,HostingInstitution,"2,771"
1986,DataCollector,"2,263"
1986,DataManager,"2,019"
1986,Other,857
1986,Editor,349
1986,RelatedPerson,343
1986,Sponsor,213
1986,RightsHolder,121
1986,ContactPerson,89
1986,Distributor,81
1986,Supervisor,55
1986,DataCurator,30
1986,Producer,18
1986,ResearchGroup,15
1986,Researcher,8
1987,DataCollector,"4,248"
1987,HostingInstitution,"3,004"
1987,DataManager,"1,987"
1987,Other,718
1987,RelatedPerson,353
1987,Sponsor,216
1987,Editor,209
1987,Distributor,79
1987,Supervisor,69
1987,ContactPerson,68
1987,RightsHolder,62
1987,ResearchGroup,21
1987,Producer,13
1987,DataCurator,12
1987,Researcher,7
1987,Funder,2
1987,RegistrationAuthority,1
1988,HostingInstitution,"3,124"
1988,DataManager,"2,197"
1988,DataCollector,"1,753"
1988,Other,890
1988,RelatedPerson,345
1988,Editor,292
1988,Sponsor,261
1988,RightsHolder,113
1988,ContactPerson,87
1988,Supervisor,85
1988,Distributor,72
1988,ResearchGroup,20
1988,Producer,18
1988,DataCurator,15
1988,Funder,6
1988,Researcher,6
1989,HostingInstitution,"3,371"
1989,DataManager,"2,190"
1989,DataCollector,"1,343"
1989,Other,967
1989,RelatedPerson,405
1989,Editor,316
1989,Sponsor,151
1989,Supervisor,98
1989,ContactPerson,95
1989,Distributor,78
1989,RightsHolder,78
1989,DataCurator,31
1989,ResearchGroup,15
1989,Producer,7
1989,Researcher,5
1989,ProjectLeader,1
1989,ProjectManager,1
1990,HostingInstitution,"3,120"
1990,DataCollector,"3,075"
1990,DataManager,"2,220"
1990,Other,651
1990,RelatedPerson,453
1990,Editor,318
1990,Sponsor,210
1990,ContactPerson,112
1990,Supervisor,85
1990,Distributor,80
1990,RightsHolder,71
1990,ResearchGroup,32
1990,DataCurator,27
1990,Researcher,6
1990,Producer,4
1990,ProjectLeader,4
1990,WorkPackageLeader,4
1990,ProjectMember,3
1990,Funder,1
1991,HostingInstitution,"3,763"
1991,DataCollector,"3,114"
1991,DataManager,"2,493"
1991,Other,841
1991,RelatedPerson,406
1991,Editor,349
1991,Sponsor,180
1991,ContactPerson,97
1991,Distributor,97
1991,RightsHolder,97
1991,Supervisor,93
1991,DataCurator,45
1991,Producer,35
1991,ResearchGroup,26
1991,Researcher,4
1991,RegistrationAuthority,2
1992,DataCollector,"4,327"
1992,HostingInstitution,"3,966"
1992,DataManager,"2,714"
1992,Other,899
1992,RelatedPerson,434
1992,Editor,359
1992,Sponsor,300
1992,Distributor,101
1992,Supervisor,100
1992,RightsHolder,94
1992,ContactPerson,92
1992,Producer,40
1992,DataCurator,37
1992,ResearchGroup,25
1992,Researcher,10
1992,RegistrationAuthority,1
1993,HostingInstitution,"3,589"
1993,DataManager,"2,874"
1993,DataCollector,"2,577"
1993,Other,"1,003"
1993,RelatedPerson,491
1993,Editor,389
1993,Sponsor,353
1993,ContactPerson,138
1993,Supervisor,125
1993,Distributor,101
1993,Producer,88
1993,DataCurator,64
1993,RightsHolder,37
1993,ResearchGroup,33
1993,Researcher,11
1993,Funder,5
1994,HostingInstitution,"5,050"
1994,DataManager,"3,178"
1994,DataCollector,"2,742"
1994,Other,978
1994,RelatedPerson,574
1994,Editor,376
1994,Sponsor,358
1994,ContactPerson,205
1994,Supervisor,129
1994,Distributor,128
1994,RightsHolder,61
1994,ResearchGroup,30
1994,DataCurator,22
1994,Producer,22
1994,Researcher,17
1994,Funder,1
1994,ProjectLeader,1
1994,ProjectManager,1
1994,ProjectMember,1
1994,RegistrationAuthority,1
1995,HostingInstitution,"4,242"
1995,DataManager,"3,198"
1995,DataCollector,"2,388"
1995,Other,941
1995,RelatedPerson,511
1995,Editor,336
1995,Sponsor,267
1995,ContactPerson,243
1995,Supervisor,154
1995,Distributor,106
1995,DataCurator,77
1995,Producer,59
1995,RightsHolder,38
1995,ResearchGroup,27
1995,Researcher,22
1995,RegistrationAuthority,1
1996,HostingInstitution,"4,176"
1996,DataManager,"2,875"
1996,DataCollector,"2,199"
1996,Other,944
1996,RelatedPerson,609
1996,Sponsor,392
1996,Editor,352
1996,ContactPerson,234
1996,Supervisor,154
1996,RightsHolder,125
1996,Distributor,111
1996,DataCurator,83
1996,Researcher,40
1996,Producer,34
1996,ResearchGroup,27
1996,ProjectLeader,7
1996,ProjectMember,4
1996,RegistrationAuthority,2
1996,WorkPackageLeader,2
1996,Funder,1
1996,ProjectManager,1
1997,HostingInstitution,"4,532"
1997,DataManager,"3,056"
1997,DataCollector,"2,336"
1997,Other,915
1997,RelatedPerson,519
1997,Sponsor,487
1997,Editor,362
1997,ContactPerson,241
1997,Supervisor,161
1997,RightsHolder,111
1997,Distributor,91
1997,Researcher,83
1997,DataCurator,80
1997,ResearchGroup,64
1997,Producer,34
1997,ProjectLeader,10
1997,ProjectMember,3
1997,Funder,1
1997,ProjectManager,1
1997,WorkPackageLeader,1
1998,HostingInstitution,"4,848"
1998,DataManager,"3,370"
1998,DataCollector,"2,029"
1998,Other,999
1998,RelatedPerson,685
1998,Editor,360
1998,Sponsor,349
1998,ContactPerson,276
1998,Supervisor,182
1998,DataCurator,128
1998,RightsHolder,93
1998,Distributor,86
1998,Researcher,85
1998,ResearchGroup,69
1998,Producer,42
1998,ProjectLeader,3
1998,ProjectManager,1
1998,ProjectMember,1
1998,WorkPackageLeader,1
1999,DataCollector,"9,432"
1999,HostingInstitution,"5,353"
1999,DataManager,"4,299"
1999,Other,"1,104"
1999,RelatedPerson,661
1999,Editor,353
1999,Sponsor,353
1999,ContactPerson,276
1999,Supervisor,256
1999,Distributor,108
1999,ResearchGroup,89
1999,Researcher,86
1999,RightsHolder,64
1999,DataCurator,38
1999,Producer,29
1999,ProjectLeader,4
1999,ProjectMember,4
1999,WorkPackageLeader,4
2000,HostingInstitution,"6,590"
2000,DataManager,"5,016"
2000,DataCollector,"3,063"
2000,Other,"1,083"
2000,RelatedPerson,799
2000,Editor,519
2000,Distributor,506
2000,RightsHolder,448
2000,ContactPerson,431
2000,Sponsor,394
2000,RegistrationAgency,386
2000,Supervisor,287
2000,ResearchGroup,143
2000,Researcher,110
2000,DataCurator,45
2000,Producer,37
2000,ProjectLeader,9
2000,WorkPackageLeader,5
2001,HostingInstitution,"13,544"
2001,DataManager,"9,359"
2001,DataCollector,"1,824"
2001,RightsHolder,"1,276"
2001,Distributor,"1,199"
2001,RegistrationAgency,"1,123"
2001,Other,"1,065"
2001,RelatedPerson,884
2001,Editor,746
2001,ContactPerson,420
2001,Supervisor,373
2001,Sponsor,228
2001,ResearchGroup,148
2001,Researcher,107
2001,Producer,44
2001,DataCurator,39
2001,ProjectLeader,2
2001,RegistrationAuthority,1
2002,HostingInstitution,"8,771"
2002,DataManager,"7,081"
2002,DataCollector,"2,299"
2002,Other,"1,597"
2002,RightsHolder,"1,132"
2002,Distributor,"1,113"
2002,RelatedPerson,"1,030"
2002,RegistrationAgency,"1,027"
2002,ContactPerson,842
2002,Editor,570
2002,Sponsor,523
2002,Supervisor,349
2002,ResearchGroup,184
2002,DataCurator,140
2002,Researcher,122
2002,Producer,17
2002,ProjectLeader,12
2002,ProjectMember,4
2002,WorkPackageLeader,2
2002,Funder,1
2002,ProjectManager,1
2003,HostingInstitution,"11,943"
2003,DataManager,"8,462"
2003,DataCollector,"2,874"
2003,Other,"2,389"
2003,RelatedPerson,"1,470"
2003,Distributor,"1,315"
2003,RightsHolder,"1,292"
2003,ContactPerson,"1,251"
2003,RegistrationAgency,"1,169"
2003,Editor,892
2003,Supervisor,461
2003,Sponsor,451
2003,ResearchGroup,212
2003,DataCurator,142
2003,Researcher,90
2003,Producer,25
2003,ProjectLeader,19
2003,WorkPackageLeader,6
2003,ProjectMember,5
2003,Funder,2
2004,HostingInstitution,"13,709"
2004,DataManager,"11,996"
2004,DataCollector,"9,354"
2004,Other,"3,971"
2004,ContactPerson,"3,470"
2004,RelatedPerson,"2,011"
2004,Distributor,"1,345"
2004,RightsHolder,"1,235"
2004,RegistrationAgency,"1,179"
2004,Supervisor,914
2004,Editor,882
2004,DataCurator,880
2004,Sponsor,369
2004,ResearchGroup,229
2004,ProjectLeader,109
2004,Researcher,78
2004,Producer,15
2004,WorkPackageLeader,5
2004,ProjectMember,3
2004,Funder,2
2004,RegistrationAuthority,1
2005,HostingInstitution,"21,266"
2005,DataManager,"11,785"
2005,DataCollector,"4,987"
2005,ContactPerson,"3,647"
2005,Other,"3,325"
2005,RelatedPerson,"1,927"
2005,Supervisor,"1,416"
2005,Editor,"1,226"
2005,Distributor,"1,164"
2005,RightsHolder,"1,107"
2005,RegistrationAgency,"1,024"
2005,Sponsor,410
2005,Researcher,388
2005,DataCurator,306
2005,ResearchGroup,265
2005,ProjectLeader,167
2005,Producer,26
2005,WorkPackageLeader,15
2005,ProjectMember,11
2005,Funder,6
2005,ProjectManager,1
2006,HostingInstitution,"53,947"
2006,DataManager,"12,517"
2006,DataCollector,"7,460"
2006,ContactPerson,"3,943"
2006,Other,"3,595"
2006,RelatedPerson,"2,341"
2006,Editor,"1,571"
2006,Supervisor,"1,422"
2006,Distributor,"1,245"
2006,RightsHolder,"1,210"
2006,RegistrationAgency,"1,123"
2006,Sponsor,606
2006,Researcher,592
2006,DataCurator,466
2006,ProjectLeader,382
2006,ResearchGroup,208
2006,Producer,40
2006,Funder,12
2006,ProjectMember,3
2006,ProjectManager,2
2006,WorkPackageLeader,1
2007,HostingInstitution,"68,011"
2007,DataManager,"13,242"
2007,Other,"5,983"
2007,DataCollector,"5,494"
2007,ContactPerson,"4,003"
2007,RelatedPerson,"3,297"
2007,Producer,"2,744"
2007,Distributor,"1,885"
2007,Supervisor,"1,618"
2007,Editor,"1,426"
