"created per year","contributors.contributorType: Descending",Count
1293836400000,HostingInstitution,155725
1293836400000,Editor,14571
1293836400000,DataCollector,9055
1293836400000,Researcher,7353
1293836400000,DataManager,3563
1293836400000,ContactPerson,1903
1293836400000,RelatedPerson,944
1293836400000,Other,938
1293836400000,RightsHolder,352
1293836400000,Funder,146
1293836400000,ProjectLeader,70
1293836400000,RegistrationAgency,55
1293836400000,Producer,24
1293836400000,ResearchGroup,20
1293836400000,Supervisor,7
1293836400000,Sponsor,2
1293836400000,Distributor,1
1293836400000,ProjectMember,1
1325372400000,Other,42309
1325372400000,HostingInstitution,31841
1325372400000,DataManager,22716
1325372400000,Editor,5673
1325372400000,DataCollector,5474
1325372400000,Researcher,5183
1325372400000,ContactPerson,598
1325372400000,Distributor,332
1325372400000,ResearchGroup,142
1325372400000,RelatedPerson,102
1325372400000,Sponsor,82
1325372400000,DataCurator,80
1325372400000,RightsHolder,41
1325372400000,ProjectLeader,36
1325372400000,Funder,26
1325372400000,ProjectMember,24
1325372400000,Supervisor,14
1325372400000,ProjectManager,11
1325372400000,Producer,5
1325372400000,RegistrationAgency,2
1325372400000,RegistrationAuthority,1
1356994800000,DataCollector,119999
1356994800000,Distributor,116181
1356994800000,DataManager,36138
1356994800000,ContactPerson,30619
1356994800000,Other,14993
1356994800000,HostingInstitution,14072
1356994800000,Editor,7706
1356994800000,Supervisor,4409
1356994800000,Researcher,4325
1356994800000,ResearchGroup,993
1356994800000,Producer,739
1356994800000,ProjectLeader,256
1356994800000,RightsHolder,90
1356994800000,RelatedPerson,62
1356994800000,Sponsor,54
1356994800000,Funder,42
1356994800000,ProjectMember,29
1356994800000,DataCurator,6
1356994800000,ProjectManager,4
1356994800000,WorkPackageLeader,2
1388530800000,DataCollector,258820
1388530800000,Distributor,247973
1388530800000,Researcher,181465
1388530800000,HostingInstitution,15244
1388530800000,Editor,12361
1388530800000,DataManager,9988
1388530800000,Other,8595
1388530800000,RelatedPerson,4637
1388530800000,ProjectLeader,2603
1388530800000,ResearchGroup,1898
1388530800000,ContactPerson,1517
1388530800000,Sponsor,835
1388530800000,Supervisor,802
1388530800000,Funder,753
1388530800000,Producer,598
1388530800000,RightsHolder,157
1388530800000,DataCurator,49
1388530800000,ProjectMember,44
1388530800000,RegistrationAgency,25
1388530800000,ProjectManager,10
1388530800000,WorkPackageLeader,10
1420066800000,ContactPerson,514508
1420066800000,HostingInstitution,41970
1420066800000,DataManager,30207
1420066800000,Editor,24722
1420066800000,Researcher,23795
1420066800000,Other,18793
1420066800000,ResearchGroup,16927
1420066800000,RelatedPerson,10288
1420066800000,ProjectLeader,9300
1420066800000,DataCollector,4472
1420066800000,DataCurator,3730
1420066800000,RightsHolder,3147
1420066800000,Supervisor,2022
1420066800000,Producer,1629
1420066800000,Distributor,588
1420066800000,Funder,304
1420066800000,ProjectMember,89
1420066800000,Sponsor,81
1420066800000,ProjectManager,46
1420066800000,WorkPackageLeader,8
1420066800000,RegistrationAgency,4
1451602800000,DataCollector,241597
1451602800000,HostingInstitution,75060
1451602800000,Editor,55714
1451602800000,ResearchGroup,52013
1451602800000,DataManager,37475
1451602800000,Other,24361
1451602800000,Researcher,20417
1451602800000,RelatedPerson,12879
1451602800000,ContactPerson,7480
1451602800000,ProjectLeader,3198
1451602800000,DataCurator,1891
1451602800000,Supervisor,1570
1451602800000,RightsHolder,1085
1451602800000,Producer,711
1451602800000,Distributor,709
1451602800000,Sponsor,457
1451602800000,Funder,378
1451602800000,ProjectMember,139
1451602800000,RegistrationAgency,64
