"registered","publisher",Count
1072911600000,"World Data Center for Climate (WDCC) at DKRZ",12
1072911600000,"PANGAEA - Data Publisher for Earth & Environmental Science",1
1104534000000,"PANGAEA - Data Publisher for Earth & Environmental Science",20668
1104534000000,"World Data Center for Climate (WDCC)",1669
1104534000000,"World Data Center for Climate (WDCC) at DKRZ",11
1136070000000,"PANGAEA - Data Publisher for Earth & Environmental Science",46227
1136070000000,"World Data Center for Climate (WDCC)",46
1136070000000,"World Data Center for Climate (WDCC) at DKRZ",33
1136070000000,"Deutsches GeoForschungsZentrum GFZ",1
1167606000000,"PANGAEA - Data Publisher for Earth & Environmental Science",19197
1167606000000,"IWF (Göttingen)",846
1167606000000,"ÖWF (Wien)",8
1167606000000,"Deutsches GeoForschungsZentrum GFZ",5
1167606000000,"Reichsanstalt für Film und Bild in Wissenschaft und Unterricht (RWU)",5
1167606000000,"World Data Center for Climate (WDCC) at DKRZ",4
1167606000000,"Freie Universität Berlin, Zentraleinrichtung für AV-Medien",3
1167606000000,"Gesellschaft für den Kulturwissenschaftlichen Film (Göttingen)",3
1167606000000,IWF,3
1167606000000,"Container TV AG (Bern)",2
1167606000000,"IWF(Göttingen)",2
1167606000000,"Gesellschaft für den kulturwissenschaftlichen Film (Gleichen)",1
1167606000000,"IWF (Göttingen) ; Gesellschaft für den Kulturwissenschaftlichen Film (Göttingen)",1
1167606000000,"Institut für Film und Bild in Wissenschaft und Unterricht (FWU),IWF (Göttingen)",1
1167606000000,"ÖWF (Wien),Institut für Volkskunde der Universität Wien (Wien)",1
1199142000000,"PANGAEA - Data Publisher for Earth & Environmental Science",17490
1199142000000,"World Data Center for Climate (WDCC) at DKRZ",3
1199142000000,"Deutsches GeoForschungsZentrum GFZ",1
1230764400000,"PANGAEA - Data Publisher for Earth & Environmental Science",38367
1230764400000,"ETH Zurich",19220
1230764400000,"German Medical Science GMS Publishing House",3950
1230764400000,"Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik GmbH, Wadern/Saarbruecken, Germany",134
1230764400000,"World Data Center for Climate (WDCC) at DKRZ",50
1230764400000,"Zürich",3
1230764400000,"Zürich, Institute of Geodesy and Photogrammetry, Swiss Federal Institute of Technology, ETH",3
1230764400000,"Birmensdorf, Eidg. Forschungsanstalt für Wald, Schnee und Landschaft WSL",1
1230764400000,"Deutsches GeoForschungsZentrum GFZ",1
1230764400000,"GFZ German Research Centre for Geosciences",1
1230764400000,"Konstanz, Hartung-Gorre Verlag",1
1230764400000,Zurich,1
1230764400000,"Zürich, Institut für Geodäsie und Photogrammetrie an der Eidgenössischen Technischen Hochschule ETH Zürich",1
1230764400000,"Zürich, vdf Hochschulverlag AG an der ETH Zürich",1
1262300400000,"PANGAEA - Data Publisher for Earth & Environmental Science",12625
1262300400000,"European Congress of Radiology",4875
1262300400000,"GESIS Data Archive",3969
1262300400000,"German Medical Science GMS Publishing House",3794
1262300400000,"ETH Zurich",817
1262300400000,"Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik GmbH, Wadern/Saarbruecken, Germany",453
1262300400000,"Archaeology Data Service",328
1262300400000,"The Royal Australian and New Zealand College of Radiologists",120
1262300400000,"[Christoph Froschauer d. Ä.]",88
1262300400000,"Leibniz-Zentrum für Agrarlandschaftsforschung (ZALF) e.V.",55
1262300400000,"by Christoffel Froschouer",48
1262300400000,"ZPID Leibniz Institute for Psychology",33
1262300400000,"[Pamphilus Gengenbach]",30
1262300400000,"[Adam Petri]",28
1262300400000,"[Andreas Cratander]",28
1262300400000,"per Thomam Guarinum",20
1262300400000,"per Ioannem Oporinum",19
1262300400000,"apud Mich. Isingrinium",18
1262300400000,"by Samuel Apiario",17
1262300400000,"durch Christophorum Froschouer",17
1262300400000,"excudebat Leonardus Ostenius",17
1262300400000,"[Verlag nicht ermittelbar]",16
1262300400000,"apud Christophorum Froschouerum",16
1262300400000,"Centre d'Immunologie de Marseille-Luminy (CIML), Université de la Méditerranée, INSERM U631, CNRS UMR6102, Parc Scientifique et Technologique de Luminy, Case 906, F13288 Marseille cedex 09, France",13
1262300400000,"by Christoffel Froschower",12
1262300400000,"[Johannes Froben]",11
1262300400000,"ex officina Brylingeriana",9
1262300400000,"durch Johannsen Hager",8
1262300400000,"Delft University of Technology",7
1262300400000,"[Hans Rudolf Wyssenbach]",7
1262300400000,"[Heinrich Petri]",7
1262300400000,"[bey Samuel Apiario]",7
1262300400000,"Deutsches GeoForschungsZentrum GFZ",6
1262300400000,"[Christoph Froschauer d. J.]",6
1262300400000,"[Johannes Oporin]",6
1262300400000,"excudebat Froschouerus",6
1262300400000,"excudebat Ioannes le Preux",6
1262300400000,"excudebat Leonhardus Ostenius",6
1262300400000,"typis Oporinianis",6
1262300400000,"Laboratoire Analyse et Modélisation pour la Biologie et l'Environnement (LAMBE), CNRS UMR8587, CEA, Université Evry val d'Essonne, Bat. Mapertuis, Boulevard François Mitterrand, 91025 Evry Cedex, France",5
1262300400000,"Typis Leonhardi Ostenii",5
1262300400000,"[Johannes Bebel]",5
1262300400000,"[Michael Isengrin]",5
1262300400000,"[apud Andream Cratandrum]",5
1262300400000,"[by Christoffel Froschouer]",5
1262300400000,"[ex officina Ioannis Oporini]",5
1262300400000,"apud Eustathium Vignon",5
1262300400000,"apud Thomam Guarinum",5
